estimator,est_error,shd,cpshd,f1score,sparsity,dag_rate,n,p,m,ne,s,graph_type,id
Sorted DAG (fixed),0.863538873927281,6.7215189873417724,7.1075949367088604,0.2647759494851533,5.1424050632911396,1.0,316,20,5,10,0.5,scale-free,2
Sorted DAG (truth),0.7210011817226372,3.1677215189873418,3.712025316455696,0.5537100254798261,3.5221518987341773,1.0,316,20,5,10,0.5,scale-free,2
Clustered DAG,0.8420546370847758,5.677215189873418,6.158227848101266,0.36516163161732795,4.936708860759493,1.0,316,20,5,10,0.5,scale-free,2
Contextual DAG,0.44074558597602514,2.971,3.364,0.7063797358262849,5.359,1.0,1000,20,5,10,0.5,scale-free,2
Fixed DAG,0.9273412985852314,4.771,5.017,0.4124655289155289,4.0,1.0,1000,20,5,10,0.5,scale-free,2
Sorted DAG (fixed),0.6070906060407162,3.499,3.715,0.5763880584608105,4.147,1.0,1000,20,5,10,0.5,scale-free,2
Sorted DAG (truth),0.5302106694766073,1.888,2.124,0.7359064091223531,3.866,1.0,1000,20,5,10,0.5,scale-free,2
Clustered DAG,0.7412727886213938,4.911,5.147,0.5004710317460318,5.088,1.0,1000,20,5,10,0.5,scale-free,2
Contextual DAG,0.37429630812773446,1.924731182795699,2.3251106894370652,0.7561460815108496,4.10752688172043,1.0,3162,20,5,10,0.5,scale-free,2
Fixed DAG,0.874928173779154,4.71157495256167,5.254901960784314,0.46029119169536636,6.0,1.0,3162,20,5,10,0.5,scale-free,2
Sorted DAG (fixed),0.43530319887976576,3.0961416824794434,3.4269449715370017,0.6457798211767419,4.985768500948766,1.0,3162,20,5,10,0.5,scale-free,2
Sorted DAG (truth),0.44372277575314234,1.5980392156862746,1.9389626818469323,0.7595947668723646,3.592030360531309,1.0,3162,20,5,10,0.5,scale-free,2
Clustered DAG,0.585905188469125,3.7985452245414293,4.274193548387097,0.5839539399325648,4.92662871600253,1.0,3162,20,5,10,0.5,scale-free,2
Contextual DAG,0.3386002367939888,0.9984,1.1571,0.8727673249385632,4.3445,1.0,10000,20,5,10,0.5,scale-free,2
